Id,days_tracked,avg_daily_steps,avg_daily_distance,avg_daily_calories,avg_very_active_min,avg_fairly_active_min,avg_lightly_active_min,avg_sedentary_min,total_steps,total_distance,Class
4057192912.0,32,1887.21875,1.3890625018393623,1903.53125,1.25,5.28125,43.25,1358.0625,60391,44.450000058859594,Heavy
4020332650.0,32,5776.59375,4.143749993585516,3075.375,4.0625,7.65625,130.375,1083.21875,184851,132.5999997947365,Heavy
1624580081.0,19,4226.263157894737,2.7468420769038953,1352.8947368421052,0.7368421052631579,0.5789473684210527,121.05263157894737,1278.3157894736842,80299,52.18999946117401,Heavy
1503960366.0,19,11640.526315789473,7.607368451200035,1796.2105263157894,35.8421052631579,15.842105263157896,228.21052631578948,809.8421052631579,221170,144.54000057280066,Heavy
4702921684.0,15,7943.4,6.445999972025549,2821.4666666666667,2.933333333333333,17.266666666666666,246.73333333333332,726.7333333333333,119151,96.68999958038324,Moderate
4445114986.0,15,4293.066666666667,2.906666680177053,2107.8,5.066666666666666,0.9333333333333333,200.6,861.4,64396,43.60000020265579,Moderate
2347167796.0,15,9800.066666666668,6.511333370208738,2021.3333333333333,11.8,23.133333333333333,253.53333333333333,683.8666666666667,147001,97.67000055313108,Moderate
6962181067.0,14,12639.714285714286,8.647857155118674,2089.214285714286,35.357142857142854,29.0,258.57142857142856,606.2857142857143,176956,121.07000017166143,Moderate
8877689391.0,12,17417.083333333332,14.090833206971476,3451.1666666666665,66.83333333333333,15.083333333333334,241.0,1046.1666666666667,209005,169.08999848365772,Moderate
8792009665.0,12,3094.9166666666665,1.9808333412123227,2073.6666666666665,1.5,5.416666666666667,132.08333333333334,893.5833333333334,37139,23.77000009454787,Moderate
8378563200.0,12,8135.25,6.451666633288071,3356.1666666666665,55.416666666666664,10.333333333333334,168.91666666666666,684.1666666666666,97623,77.41999959945686,Moderate
8253242879.0,12,2389.9166666666665,1.6791666348775225,1463.0,5.833333333333333,4.666666666666667,59.25,1352.3333333333333,28679,20.14999961853027,Moderate
7086361926.0,12,6103.916666666667,4.094166625601549,2177.0,26.25,17.666666666666668,101.25,888.8333333333334,73247,49.129999507218585,Moderate
7007744171.0,12,12260.333333333334,8.856666684150705,2627.0833333333335,44.666666666666664,16.25,277.5,1000.6666666666666,147124,106.28000020980845,Moderate
5553957443.0,12,8354.75,5.458333363135659,1802.5,23.583333333333332,16.666666666666668,183.33333333333334,607.75,100257,65.50000035762791,Moderate
4558609924.0,12,5785.25,3.8233333081007,1830.1666666666667,4.333333333333333,2.75,249.83333333333334,1085.3333333333333,69423,45.8799996972084,Moderate
4319703577.0,12,7820.583333333333,5.255833347638448,1994.25,6.583333333333333,18.25,248.66666666666666,780.0833333333334,93847,63.07000017166138,Moderate
3977333714.0,12,8663.916666666666,5.806666617592175,1398.0833333333333,12.166666666666666,31.25,206.91666666666666,708.75,103967,69.6799994111061,Moderate
2873212765.0,12,6636.583333333333,4.469166725873947,1695.75,5.083333333333333,6.0,275.25,1136.9166666666667,79639,53.630000710487366,Moderate
2320127002.0,12,3138.4166666666665,2.1224999725818634,1532.0833333333333,0.9166666666666666,1.0833333333333333,125.91666666666667,1249.25,37661,25.46999967098236,Moderate
2026352035.0,12,3392.75,2.103333314259847,1355.5,0.0,0.0,169.33333333333334,659.1666666666666,40713,25.239999771118164,Moderate
2022484408.0,12,12174.916666666666,8.774166762828832,2475.3333333333335,40.083333333333336,22.5,253.83333333333334,1058.9166666666667,146099,105.290001153946,Moderate
1927972279.0,12,2180.8333333333335,1.5108333394552265,2254.0,0.0,1.6666666666666667,111.66666666666667,952.9166666666666,26170,18.130000073462718,Moderate
1844505072.0,12,3640.5833333333335,2.4066666861375174,1615.9166666666667,0.75,0.75,158.5,1035.3333333333333,43687,28.88000023365021,Moderate
8053475328.0,11,14844.363636363636,11.576363602822468,2893.181818181818,84.81818181818181,11.363636363636363,154.36363636363637,1114.4545454545455,163288,127.33999963104715,Moderate
5577150313.0,11,8608.181818181818,6.448181780901819,3300.2727272727275,81.81818181818181,28.181818181818183,157.27272727272728,665.8181818181819,94690,70.92999958992,Moderate
6290855005.0,10,1618.1,1.223000001907349,2165.6,7.8,10.7,39.3,1289.6,16181,12.23000001907349,Light
6117666160.0,10,8248.6,6.226999974250795,2099.3,0.5,4.1,299.9,864.1,82486,62.26999974250795,Light
3372868164.0,10,6127.5,4.215999984741212,1860.3,11.8,3.5,286.9,1085.1,61275,42.159999847412124,Light
1644430081.0,10,9274.8,6.749000000953677,2916.4,14.8,43.5,227.7,1034.2,92748,67.49000000953677,Light
6775888955.0,9,5559.0,3.9855555173837485,2724.777777777778,19.88888888888889,49.22222222222222,124.0,1017.8888888888889,50031,35.869999656453736,Light
6391747486.0,9,1336.888888888889,1.0744444661670265,1763.111111111111,5.111111111111111,0.6666666666666666,34.333333333333336,1261.888888888889,12032,9.670000195503238,Light
8583815059.0,8,3045.5,2.3775000125169763,2391.25,0.625,1.875,137.125,1261.75,24364,19.02000010013581,Light
4388161847.0,8,0.0,0.0,1805.25,0.0,0.0,0.0,1384.25,0,0.0,Light
2891001357.0,8,773.625,0.6037500053644175,2273.375,0.0,82.5,168.75,1099.875,6189,4.83000004291534,Light
